gene,vP0_1,vP0_2,vP4_1,vP4_2,vP7_1,vP7_2,vAd_1,vAd_2
ENSMUSG00000117310.3,0.062636422,0.221386893,0.312144078,0.113176718,0.175489073,0.523318414,0.169464057,0.43693327
ENSMUSG00000086727.9,0.062636422,0,0,0.169765077,0.087744536,0.087219736,0,0.124838077
ENSMUSG00000100910.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000099796.2,0.062636422,0.110693446,0,0.056588359,0,0.087219736,0.056488019,0.062419039
ENSMUSG00000050217.14,0.062636422,0,0,0.056588359,0.087744536,0,0,0
ENSMUSG00000101093.2,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000070960.5,0.814273488,0.332080339,0.312144078,0.565883591,0,0.348878943,0.056488019,0.374514232
ENSMUSG00000026058.12,0.125272844,0.166040169,0.062428816,0.226353437,0,0.087219736,0,0
ENSMUSG00000103482.2,0,0,0,0,0.087744536,0,0,0
ENSMUSG00000102321.2,0.062636422,0.055346723,0,0,0,0,0,0
ENSMUSG00000091318.3,0,0,0,0,0,0,0,0.062419039
ENSMUSG00000100481.2,0.062636422,0,0,0.113176718,0,0,0.056488019,0.062419039
ENSMUSG00000101612.3,0,0.221386893,0.56185934,0,0.263233609,0.348878943,0.169464057,0.062419039
ENSMUSG00000026134.12,8.142734877,8.634088811,8.864891807,10.18590464,6.580840226,6.454260444,2.146544721,1.872571158
ENSMUSG00000101682.2,0.375818533,0.055346723,0,0,0,0,0,0
ENSMUSG00000102714.2,0.187909266,0.276733616,0.187286447,0.226353437,0.350978145,0.261659207,0.056488019,0.062419039
ENSMUSG00000103746.2,0.375818533,0.166040169,0.437001709,0.339530155,0.263233609,0.087219736,0,0.062419039
ENSMUSG00000102198.2,0,0.055346723,0,0.056588359,0,0,0,0
ENSMUSG00000004768.15,19.91838224,19.31600638,29.59125857,30.27477213,26.23561637,27.29977728,10.90218766,12.48380772
ENSMUSG00000042215.9,51.36186614,46.8786745,45.26089127,50.47681634,47.73302777,46.48811915,51.40409727,49.49829761
ENSMUSG00000103072.2,0.187909266,0,0.249715262,0,0.263233609,0.261659207,0.112976038,0
ENSMUSG00000042197.14,45.53667889,46.93402123,47.63318626,48.21328198,45.10069168,41.34215474,22.76467165,23.53197755
ENSMUSG00000081402.5,0.187909266,0.110693446,0.124857631,0.056588359,0.175489073,0,0,0.062419039
ENSMUSG00000042182.17,4.885640926,2.98872305,4.05787301,4.413892012,2.281357945,1.744394715,0.847320285,1.373218849
ENSMUSG00000104416.2,0,0.110693446,0,0.056588359,0,0,0,0.187257116
ENSMUSG00000026131.21,577.1946299,680.9860816,840.4167148,814.9855482,995.6372539,942.4964643,1303.912942,1105.378755
ENSMUSG00000103596.2,0.062636422,0.110693446,0.124857631,0.113176718,0.087744536,0,0,0
ENSMUSG00000103364.2,1.75381982,1.328321355,2.434723806,1.641062415,1.579401654,1.2210763,0.903808304,0.499352309
ENSMUSG00000096992.4,0.751637066,0.774854124,0.811574602,0.962002105,1.140678972,1.482735507,1.016784342,0.499352309
ENSMUSG00000103001.2,0,0.166040169,0.124857631,0.113176718,0,0,0,0
ENSMUSG00000101206.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000101462.3,0.563727799,0.830200847,0.686716971,0.565883591,0,0.174439471,0.338928114,0.312095193
ENSMUSG00000102336.2,5.512005147,6.752300224,3.433584855,4.470480371,1.9303798,2.529372336,1.525176512,1.435637888
ENSMUSG00000042111.10,19.35465444,19.09461948,15.17020218,17.0330961,15.88176108,18.83946292,15.59069324,13.85702657
ENSMUSG00000101711.2,0.125272844,0.055346723,0,0.056588359,0,0,0.056488019,0.062419039
ENSMUSG00000026127.14,38.02030823,32.87595355,33.52427395,36.15996148,29.13118607,26.16592072,21.91735136,24.15616794
ENSMUSG00000026126.16,2.881275418,3.376150112,3.683300117,3.168948111,4.211737745,4.186547315,3.050353025,3.308209046
ENSMUSG00000100280.3,0.501091377,0.387427062,0.437001709,0.452706873,0.087744536,0.61053815,0.282440095,0.187257116
ENSMUSG00000101223.7,0,0.110693446,0.062428816,0,0.087744536,0.087219736,0.056488019,0
ENSMUSG00000026125.10,0,0,0,0,0,0,0.056488019,0.062419039
ENSMUSG00000026124.5,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000037509.22,4.572458815,5.313285422,1.748006835,2.376711083,1.579401654,1.308296036,0.282440095,0.499352309
ENSMUSG00000104002.3,0.438454955,0.774854124,1.061289864,0.848825387,0.526467218,1.133856565,0.056488019,0.249676154
ENSMUSG00000037503.13,165.1096087,144.2335605,133.4103788,140.8484259,116.7879779,130.6551641,86.14422894,81.58168346
ENSMUSG00000104358.2,1.19009202,1.383668079,0.624288155,1.414708978,0.789700827,1.308296036,0.508392171,0.124838077
ENSMUSG00000026123.12,82.80535005,73.99856884,95.89066067,75.319106,70.37111815,74.83453326,159.3527015,169.9670421
ENSMUSG00000103716.2,0,0,0.062428816,0.056588359,0,0,0,0
ENSMUSG00000103548.2,0.062636422,0,0.124857631,0,0,0.087219736,0,0
ENSMUSG00000103760.2,0,0,0,0,0,0,0,0.062419039
ENSMUSG00000102531.2,0.250545689,0.221386893,0.811574602,0.282941796,0.526467218,0.436098679,0.112976038,0
ENSMUSG00000103708.2,0,0,0.124857631,0,0.087744536,0,0,0
ENSMUSG00000102434.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000045216.8,62.63642213,59.71911427,59.49466121,56.92788928,53.87514532,55.9078506,34.90959573,30.52290988
